tract,prostitution,theft,liquor_law_violation,burglary,public_peace_violation,homicide,battery,arson,narcotics,gambling,offense_involving_children,assault,motor_vehicle_theft,intimidation,public_indecency,weapons_violation,robbery,kidnapping,interference_with_public_officer,crim_sexual_assault,criminal_trespass,criminal_damage,sex_offense,stalking,deceptive_practice,obscenity
17031720500,-0.242676907,-0.60905437,0.685107374,-0.647631362,-0.751832699,-0.537412997,-0.789805839,-0.522794606,-0.56615374,-0.393732288,-0.873152565,-0.954890959,-0.962322556,-0.284556406,-0.133796304,-0.757496722,-0.739169855,-0.394187556,-0.652269171,-0.776352804,-0.36304862,-0.444475547,-0.764085418,-0.384012511,-0.290267831,-0.152108981
17031832200,-0.242676907,-0.209774052,0.345803403,0.57470187,-0.548031648,-0.537412997,-0.771394318,-0.522794606,-0.567135314,-0.393732288,-0.521935329,-0.680154122,0.297577544,-0.284556406,-0.133796304,-0.757496722,-0.743214993,-0.394187556,-0.652269171,-0.776352804,-0.350177585,-0.71098363,-0.764085418,-0.384012511,-0.266268564,-0.152108981
17031836300,-0.242676907,-0.30997262,-0.603721657,-1.075908097,-0.751832699,-0.537412997,-0.380677272,-0.522794606,-0.372777106,-0.393732288,-0.873152565,-0.574677855,-0.957848792,-0.284556406,-0.133796304,-0.757496722,-0.070453729,-0.394187556,-0.652269171,-0.776352804,-0.382539897,-0.332971051,-0.764085418,-0.384012511,-0.336545458,-0.152108981
17031010502,-0.242676907,-0.537038655,-0.603721657,-1.036867192,-0.558612741,-0.537412997,-0.502724396,-0.522794606,-0.56996567,-0.393732288,-0.540170084,-0.742020318,-0.903918119,-0.284556406,-0.133796304,-0.468189422,-0.435384125,-0.394187556,-0.652269171,-0.776352804,-0.100589978,-0.686982486,-0.764085418,-0.384012511,-0.297501329,-0.152108981
17031030900,-0.242676907,-0.280624198,1.240138108,-0.769951043,-0.751832699,-0.537412997,-0.739175222,-0.522794606,-0.581952333,-0.393732288,-0.532142434,-0.86134931,-0.535203117,-0.284556406,-0.133796304,-0.609355715,-0.913342832,-0.394187556,-0.652269171,-0.776352804,-0.310310574,-1.059343362,-0.764085418,-0.384012511,-0.044033901,-0.152108981
17031031900,-0.242676907,-0.604780339,-0.603721657,-0.49218096,-0.751832699,-0.537412997,-0.955024048,-0.522794606,-0.499914212,-0.393732288,-0.873152565,-0.850444445,-0.151494609,-0.284556406,-0.133796304,-0.562804461,-0.394522789,-0.394187556,-0.652269171,-0.776352804,-0.370383599,-1.078821906,-0.764085418,-0.384012511,-0.230573758,-0.152108981
17031040402,-0.242676907,-0.165509559,0.645877127,-0.532251553,-0.349521761,-0.537412997,-0.695388995,-0.522794606,-0.42435649,-0.393732288,-0.873152565,-0.469543572,-0.688469585,-0.284556406,-0.133796304,-0.45630762,-0.893960947,-0.394187556,-0.652269171,-0.776352804,-0.248041528,-1.086877327,-0.764085418,-0.384012511,-0.225403525,-0.152108981
17031051400,-0.242676907,-0.607200158,-0.603721657,-0.538731047,-0.463351674,-0.537412997,-0.756126567,-0.522794606,-0.544484117,-0.393732288,-0.873152565,-0.57856893,-0.837431506,-0.284556406,-0.133796304,-0.541526107,-0.808871745,-0.394187556,-0.652269171,-0.776352804,-0.102381457,-0.708637346,-0.764085418,-0.384012511,-0.249147664,-0.152108981
17031061800,-0.242676907,1.262797578,-0.603721657,-0.738306497,0.325820342,-0.537412997,-0.608165979,-0.522794606,-0.585617504,-0.393732288,-0.873152565,-0.84241899,-0.685004679,-0.284556406,-0.133796304,-0.354105563,-0.076910002,-0.394187556,-0.652269171,-0.776352804,-0.36624233,-0.425729029,-0.764085418,-0.384012511,-0.053698655,-0.152108981
17031062600,-0.242676907,-0.099091586,0.650368046,-0.10910953,-0.482661499,-0.537412997,-0.855089118,-0.522794606,-0.621650421,-0.393732288,-0.409280743,-0.900358015,-1.16905295,-0.284556406,-0.133796304,-0.555982361,-0.745334434,-0.394187556,-0.652269171,-0.776352804,-0.068445988,-1.060663816,-0.764085418,-0.384012511,-0.122320269,-0.152108981
17031063200,-0.242676907,-0.604021932,-0.603721657,-0.947719843,-0.751832699,-0.537412997,-0.981838647,-0.073740302,-0.602705455,-0.393732288,-0.710413609,-0.97228337,-1.018173746,-0.284556406,-0.133796304,-0.686799958,-0.681605899,-0.394187556,-0.652269171,-0.776352804,-0.443705803,-1.237791241,-0.764085418,-0.384012511,-0.215828694,-0.152108981
17031071800,-0.242676907,-0.409303668,0.451306188,0.209691431,-0.751832699,-0.537412997,-0.942064295,-0.522794606,-0.606507336,-0.393732288,-0.482911191,-0.927849137,-0.889782444,-0.284556406,-0.133796304,-0.587968767,-0.843064214,-0.394187556,-0.652269171,-0.776352804,-0.335140551,-1.063759701,-0.764085418,-0.384012511,-0.108223638,-0.152108981
17031242300,-0.242676907,-0.254779065,0.257884417,0.917144459,-0.566902116,-0.537412997,-0.801966043,-0.522794606,-0.559816156,-0.393732288,-0.873152565,-0.835570602,0.267758001,-0.284556406,-0.133796304,-0.619048892,-0.254369845,-0.394187556,-0.652269171,-0.776352804,-0.239906003,-0.692524417,-0.764085418,-0.384012511,-0.207839834,-0.152108981
17031222700,-0.242676907,-0.59110327,-0.603721657,-0.114463758,-0.751832699,-0.537412997,-0.383990705,-0.522794606,-0.316878044,-0.393732288,-0.873152565,-0.498563263,0.081435889,-0.284556406,-0.133796304,-0.356090934,-0.37682196,-0.394187556,-0.652269171,-0.776352804,-0.248147778,-0.285802294,-0.764085418,-0.384012511,-0.327538696,-0.152108981
17031340400,-0.242676907,-0.325333204,-0.603721657,-0.946815327,-0.751832699,0.743919654,-0.879437732,-0.522794606,-0.579472944,-0.393732288,-0.329690105,-0.735367871,3.524251854,-0.284556406,-0.133796304,-0.521406739,-0.185701608,-0.394187556,-0.652269171,-0.776352804,-0.415707396,-0.511624129,-0.764085418,-0.384012511,-0.355560166,-0.152108981
17031380700,-0.242676907,-0.396526068,-0.603721657,-0.686802169,-0.269793206,-0.537412997,0.731951778,-0.522794606,0.216470012,-0.393732288,3.28042216,0.477252445,-0.074101371,-0.284556406,-0.133796304,-0.396619032,-0.436497945,-0.394187556,-0.652269171,-0.776352804,0.047983232,1.109929373,-0.764085418,-0.384012511,-0.212068852,-0.152108981
17031420400,-0.242676907,0.249909754,-0.603721657,-0.618246759,1.051553579,-0.537412997,-0.212375522,-0.522794606,0.011487788,-0.393732288,-0.873152565,0.376899406,-0.163722771,-0.284556406,-0.133796304,0.930129196,0.274604697,-0.394187556,-0.652269171,-0.776352804,0.013460663,-0.698649709,-0.764085418,-0.384012511,0.004901891,-0.152108981
17031460600,-0.242676907,0.05303833,-0.603721657,1.58988933,7.858460236,1.520517722,1.895230871,-0.522794606,-0.079725095,-0.393732288,-0.000304994,1.750843567,-0.731461363,-0.284556406,-0.133796304,2.655131106,0.986273967,-0.394187556,-0.652269171,-0.776352804,0.29926212,2.34822133,-0.764085418,-0.384012511,-0.138489369,-0.152108981
17031490400,-0.242676907,-0.083951694,-0.603721657,0.179337827,-0.751832699,4.060381225,-0.304497544,-0.522794606,-0.054106458,-0.393732288,-0.873152565,0.261301572,1.79213335,-0.284556406,-0.133796304,-0.333916959,0.279532382,-0.394187556,-0.652269171,-0.776352804,-0.109798032,0.35034268,-0.764085418,-0.384012511,0.035209357,-0.152108981
17031520500,-0.242676907,-0.794111447,-0.603721657,-0.533272943,-0.33390076,-0.537412997,-0.748307494,-0.522794606,-0.565753741,-0.393732288,-0.152916335,-0.595486513,-1.058806706,-0.284556406,-0.133796304,-0.548907571,-0.929483356,-0.394187556,-0.652269171,-0.776352804,-0.39300219,-0.51187649,-0.764085418,-0.384012511,-0.271830585,-0.152108981
17031560400,2.794560979,-0.560240715,-0.603721657,0.924629105,-0.751832699,-0.537412997,-0.795332642,-0.522794606,-0.410206602,-0.393732288,-0.873152565,-0.480168172,-0.749339477,-0.284556406,-0.133796304,-0.461605582,-0.314344144,-0.394187556,-0.652269171,-0.776352804,-0.3980263,-0.737868816,-0.764085418,-0.384012511,0.005656659,-0.152108981
17031620200,-0.242676907,0.171351749,-0.603721657,-0.177390293,0.59583957,-0.537412997,-0.683886321,-0.522794606,-0.459429353,-0.393732288,-0.408654735,-0.553268678,2.025772071,-0.284556406,-0.133796304,-0.555710411,0.294893514,-0.394187556,-0.652269171,-0.776352804,-0.18720536,0.648969618,-0.764085418,-0.384012511,-0.1219515,-0.152108981
17031838300,-0.242676907,0.980724112,-0.603721657,-0.961192116,-0.384465997,-0.537412997,0.166390346,-0.522794606,-0.400548377,-0.393732288,1.02613378,0.344706675,-0.931318054,-0.284556406,-0.133796304,-0.482468538,-0.360423932,-0.394187556,-0.652269171,-0.776352804,-0.241562443,1.064903576,-0.764085418,-0.384012511,-0.069251967,-0.152108981
17031040700,-0.242676907,-0.59698801,0.290163607,-0.939937058,-0.751832699,-0.537412997,-0.844798635,-0.522794606,-0.557499599,-0.393732288,0.780031355,-0.662056723,-0.838924381,1.150039977,-0.133796304,-0.613862086,-0.703505504,-0.394187556,-0.652269171,-0.776352804,-0.400575482,-0.971434082,-0.764085418,-0.384012511,-0.225152868,-0.152108981
17031120300,-0.242676907,-0.793428743,-0.603721657,-0.484256651,-0.751832699,-0.537412997,-1.028630339,-0.522794606,-0.602764984,-0.393732288,-0.873152565,-0.952411473,-1.290024044,-0.284556406,-0.133796304,-0.757496722,-0.967875742,0.215358612,-0.652269171,-0.776352804,-0.402163434,-1.221867364,-0.764085418,-0.384012511,-0.240284773,-0.152108981
17031130200,-0.242676907,0.42289875,-0.603721657,-0.77680073,-0.751832699,-0.537412997,-0.503765395,-0.522794606,-0.593273223,-0.393732288,-0.141864551,-0.800513839,-0.544665198,-0.284556406,-0.133796304,-0.757496722,-0.967875742,2.353518784,-0.652269171,-0.776352804,-0.391582675,-0.443978696,-0.764085418,-0.384012511,-0.234032772,-0.152108981
