tract,prostitution,other_offense,theft,liquor_law_violation,non_criminal,burglary,public_peace_violation,other_offense_,ritualism,homicide,battery,interfere_with_public_officer,offenses_involving_children,arson,narcotics,gambling,offense_involving_children,assault,motor_vehicle_theft,intimidation,public_indecency,weapons_violation,robbery,kidnapping,interference_with_public_officer,non_criminal__subject_specified_,crim_sexual_assault,criminal_trespass,domestic_violence,criminal_damage,sex_offense,stalking,other_narcotic_violation,deceptive_practice,obscenity
17031031100,0.227169468,2.498864153,18.62789641,0.227169468,0,7.26942299,0.681508405,0,0,0,5.452067242,0,0,0,2.498864153,0,0.227169468,2.271694684,4.543389368,0,0,0.681508405,1.817355747,0,0,0,0,1.590186279,0,8.405270332,0.681508405,0.227169468,0,3.634711495,0
17031190401,0,6.812309138,18.55766972,0,0,4.463237021,0.234907212,0,0,0,16.44350482,0,0,0.704721635,4.698144233,0,1.174536058,3.993422598,4.22832981,0,0,0.469814423,2.583979328,0,0,0,0,0.704721635,0,10.33591731,0.234907212,0.234907212,0,1.879257693,0
17031410900,0,3.523608175,22.90345314,0.352360817,0,8.809020437,0,0,0,0,9.866102889,0,0,0,1.761804087,0,1.057082452,6.342494715,3.171247357,0,0,0.352360817,2.114164905,0,0,0,0,1.057082452,0,9.161381254,0.352360817,0.352360817,0,5.285412262,0
17031839800,0.366300366,5.860805861,19.04761905,0,0,7.692307692,0.732600733,0,0,0,12.08791209,0,0,0,1.831501832,0,1.831501832,6.95970696,3.296703297,0,0,0.366300366,1.831501832,0,0,0,0,1.465201465,0,14.65201465,0.366300366,0.366300366,0,3.296703297,0
17031242400,0,6.874095514,41.60636758,0,0,7.959479016,0.361794501,0,0,0.361794501,24.24023155,0,0,0,6.150506512,0,0.723589001,10.85383502,5.06512301,0.361794501,0,0.723589001,3.256150507,0,0,0,0,3.979739508,0,9.76845152,0.723589001,0.361794501,0,1.808972504,0
17031210900,0,4.563233377,15.97131682,0.651890482,0,8.474576271,0.651890482,0,0,0,10.10430248,0,0,0.977835724,3.585397653,0,0.977835724,2.281616688,9.126466754,0,0,0,0.651890482,0.325945241,0,0,0,2.60756193,0,5.867014342,0.325945241,0.325945241,0,3.259452412,0
17031560900,0,3.534262714,7.068525427,0.196347929,0,1.767131357,0,0,0,0,5.694089927,0,0,0,5.694089927,0,0.196347929,1.570783428,0.981739643,0,0,0,0.392695857,0.392695857,0,0,0,0.981739643,0,4.908698213,0.392695857,0.196347929,0,2.552523071,0
17031100600,0,2.897350993,10.96854305,0.206953642,0,1.862582781,0,0,0,0.206953642,9.726821192,0,0,0.413907285,1.034768212,0,0.82781457,2.897350993,1.448675497,0,0,0.206953642,0.82781457,0.206953642,0,0,0,1.034768212,0,11.17549669,0.206953642,0.206953642,0,1.655629139,0
17031241500,0.348189415,3.48189415,69.28969359,1.044568245,0,11.83844011,0.69637883,0,0,0,13.23119777,0,0,0,3.48189415,0,0,4.526462396,9.052924791,0,0,0.348189415,9.052924791,0.348189415,0,0,0,3.830083565,0,19.84679666,0.69637883,0.348189415,0,8.008356546,0
17031030101,0,6.935525302,29.02645774,0,0,3.339326997,0.513742615,0,0,0.256871307,13.10043668,0,0,0,3.339326997,0,0,3.08245569,2.311841767,0,0,0.770613922,3.08245569,0,0.256871307,0,0,1.284356537,0,5.651168764,0.513742615,0.256871307,0,2.311841767,0
17031150300,0,5.140316755,19.44984718,0.27785496,0,4.445679355,0.13892748,0,0,0.13892748,9.30814115,0,0,0,4.306751876,0,1.528202278,3.056404557,4.723534315,0,0,0.27785496,2.222839678,0,0.13892748,0,0,1.250347319,0,6.390664073,0.13892748,0.13892748,0,2.500694637,0
17031160602,0,2.786291446,13.93145723,0.278629145,0,6.687099471,0.835887434,0,0,0,10.03064921,0,0,0,3.62217888,0,0.278629145,1.393145723,7.24435776,0,0,0.557258289,1.950404012,0,0.278629145,0,0,0.835887434,0,8.916132627,0.278629145,0.278629145,0,2.786291446,0
17031530502,0,8.99820036,34.19316137,0,0,19.79604079,0,0,0,0,34.79304139,0,0,0,16.19676065,0,0.599880024,10.79784043,9.598080384,0,0,4.799040192,4.799040192,0,1.199760048,0,0,4.799040192,0,28.79424115,0.599880024,0.599880024,0,5.398920216,0
17031620300,0,3.750586029,12.18940459,0.625097672,0,6.563525551,0.468823254,0,0,0,10.93920925,0,0,0,3.906860447,0,0.468823254,3.438037193,3.438037193,0,0,0.312548836,2.96921394,0,0.312548836,0,0,0.625097672,0,15.15861853,0.625097672,0.625097672,0,1.719018597,0
17031630500,0,2.514142049,8.013827781,0.628535512,0,4.714016342,1.728472659,0,0,0.157133878,12.25644249,0,0,0.314267756,5.028284098,0,0,3.299811439,9.113764928,0,0,2.042740415,2.357008171,0,0.157133878,0,0,0.78566939,0,9.585166562,1.099937146,0.157133878,0,2.671275927,0
17031670900,0.74019245,14.803849,34.78904515,0,0,37.74981495,2.9607698,0,0,0,71.0584752,0,0,0,23.6861584,0,0,14.803849,10.3626943,0,0,5.18134715,11.8430792,0,1.4803849,0,0,2.22057735,0,26.6469282,0.74019245,0.74019245,0,4.4411547,0
17031841900,0,10.27749229,113.8746146,0.205549846,0,2.877697842,0.411099692,0,0,0,18.08838643,0,0,0,6.166495375,0,0.616649538,15.00513875,6.783144913,0,0,1.849948613,6.988694758,0,0.205549846,0,0,18.29393628,0,11.51079137,0.616649538,0.411099692,0,20.55498458,0
17031843200,0,6.115107914,36.33093525,0.71942446,0,6.474820144,3.237410072,0,0,0.71942446,22.6618705,0,0,0.71942446,6.474820144,0,0.71942446,8.273381295,11.8705036,0,0,2.158273381,3.956834532,0,0.35971223,0,0,5.395683453,0,14.38848921,1.079136691,0.71942446,0,3.956834532,0
17031160501,0.238777459,2.148997135,11.46131805,0,0,4.536771729,0.716332378,0,0,0,10.74498567,0,0,0.238777459,5.014326648,0,0.477554919,1.910219675,4.775549188,0.238777459,0,0.238777459,1.193887297,0,0.238777459,0,0,1.432664756,0,7.87965616,0.477554919,0.238777459,0,1.193887297,0
17031240300,2.277904328,3.796507213,52.39179954,0.759301443,0,15.18602885,0,0,0,0,25.81624905,0,0,0,3.796507213,0,0,5.315110099,16.70463174,0,0,0,8.352315869,0.759301443,0.759301443,0,0,2.277904328,0,16.70463174,0.759301443,0.759301443,0,9.111617312,0
17031831600,0,5.364511692,13.34250344,0.137551582,0,7.977991747,0.825309491,0,0,0,7.702888583,0,0,0.275103164,3.71389271,0,0.412654746,4.401650619,6.327372765,0,0,0.137551582,1.100412655,0.137551582,0.137551582,0,0,0.825309491,0,9.903713893,0.137551582,0.137551582,0,1.375515818,0
17031837300,0,12.88763592,25.77527185,0,0,12.08215868,1.610954491,0,0,0,45.50946436,0,0,0.402738623,50.34232783,0.805477245,0.805477245,25.77527185,11.27668143,0.805477245,0,1.610954491,8.860249698,0.402738623,3.624647604,0,0,6.04107934,0,21.345147,0.805477245,0.402738623,0,4.430124849,0
17031020801,0.183217296,4.580432393,11.54268963,0,0,5.13008428,0,0,0,0,8.794430194,0,0,0,3.114694027,0.366434591,0.183217296,3.114694027,4.213997801,0,0,0,0.366434591,0,0.183217296,0.183217296,0,0.732869183,0,7.511909124,0.366434591,0.183217296,0,2.015390253,0
17031833100,0,4.496011603,37.85351704,0.145032632,0,3.045685279,0.725163162,0,0,0,9.717186367,0,0,0,1.88542422,0,0.725163162,2.755620015,4.205946338,0,0,0,2.46555475,0,0,0,0.435097897,1.740391588,0,8.121827411,0.145032632,0.145032632,0,5.366207397,0
17031841000,1.177856302,14.13427562,133.0977621,0,0,11.77856302,1.177856302,0,0,0,41.22497055,0,0,0,5.889281508,0,0,20.02355713,25.91283863,0,0,0,10.60070671,0,0,0,2.355712603,12.95641932,0,48.29210836,1.177856302,2.355712603,0,16.48998822,0
17031081403,1.926472949,4.174024723,51.53315139,0,0,3.210788249,1.123775887,0,0,0,6.100497672,0,0,0,0.64215765,0,0.160539412,1.444854712,0.160539412,0.160539412,0,0,1.765933537,0,0,0,0.160539412,2.247551774,0,6.582115909,0.481618237,0.160539412,0,7.705891796,0
17031031000,0,1.914660832,15.59080963,0,0,6.01750547,0,0,0,0,5.470459519,0,0,0,2.188183807,0,0.273522976,1.36761488,3.008752735,0,0,0.273522976,0.273522976,0,0,0,0.547045952,0.273522976,0,6.838074398,0.273522976,0.273522976,0,4.376367615,0
17031160502,0,4.788732394,10.14084507,0.563380282,0,7.605633803,0.845070423,0,0,0,10.98591549,0,0,0.281690141,2.816901408,0,0.563380282,2.816901408,7.605633803,0,0,0.281690141,1.126760563,0,0,0,0.281690141,1.690140845,0,7.605633803,0.563380282,0.281690141,0,2.816901408,0
17031221100,0,3.490759754,18.275154,0,0,10.26694045,0.616016427,0,0,0.205338809,15.40041068,0,0,0,6.36550308,0,0.616016427,5.544147844,11.08829569,0,0,0.410677618,1.232032854,0,0,0,0.410677618,1.026694045,0,11.2936345,0.205338809,0.410677618,0,1.437371663,0
17031381200,0,8.306414398,21.68897093,0.461467467,0,4.153207199,0,0,0,0,36.45592986,0,0,0,8.767881864,0,1.3844024,12.4596216,4.153207199,0,0,1.3844024,7.383479465,0,0,0,0.922934933,1.3844024,0,15.2284264,0.922934933,0.461467467,0,3.691739732,0
17031650400,0,3.262642741,6.97019131,0.148301943,0,5.338869939,0,0,0,0,6.080379653,0,0,0.296603886,1.63132137,0,0.741509714,1.927925256,3.855850512,0,0,0.593207771,2.224529141,0,0,0,0.296603886,0.444905828,0,12.60566513,0.444905828,0.148301943,0,1.927925256,0
17031840200,0,2.566295979,33.36184773,0,0,11.12061591,1.28314799,0,0,0,14.54234388,0,0,0,1.710863986,0,0,5.560307956,5.132591959,0,0,1.28314799,2.566295979,0,0,0,0.427715997,2.138579983,0,14.54234388,1.28314799,0.855431993,0,2.566295979,0
17031301803,0,3.173417958,7.653537428,0,0,3.360089602,3.546761247,0,0,0,11.01362703,0,0,0,5.226806048,0,0.373343289,4.293447825,2.613403024,0.373343289,0,0.746686578,2.986746313,0,0,0,0.186671645,0.560014934,0,8.96023894,0.373343289,0.186671645,0,0.186671645,0
17031062200,0,0,28.57142857,0.696864111,0,14.28571429,2.090592334,0,0,0,13.24041812,0,0,0,5.574912892,0,0.348432056,1.393728223,6.271777003,0,0,0,10.45296167,0.348432056,0,0,0.696864111,1.393728223,0,13.93728223,0.696864111,0.348432056,0,5.923344948,0
17031210100,0.49652433,4.965243297,19.86097319,0,0,6.703078451,0.248262165,0,0,0,11.91658391,0,0,0,5.461767627,0,1.241310824,4.716981132,9.433962264,0,0,0.248262165,1.489572989,0.248262165,0,0,0.49652433,0.993048659,0,12.66137041,0.248262165,0.248262165,0,3.972194638,0
17031480300,0,5.449591281,32.69754768,0.68119891,0,14.98637602,1.36239782,0,0,0,27.92915531,0,0,0,9.536784741,0,0.68119891,12.94277929,12.94277929,0,0,2.04359673,4.768392371,0.68119891,0,0,0.68119891,3.40599455,0,15.66757493,0.68119891,0.68119891,0,6.130790191,0
17031510200,0,9.711989283,21.09845948,0,0,7.70261219,0,0,0,1.004688547,20.7635633,0,0,0,4.018754186,0,1.004688547,8.372404555,7.032819826,0,0,2.344273275,4.688546551,0.334896182,0,0,0.669792364,2.679169457,0,24.11252512,0.334896182,0.334896182,0,2.344273275,0
17031730202,0,8.34670947,31.78170144,0,0,5.778491172,0.321027287,0,0,0.642054575,23.43499197,0,0,0,7.062600321,0,0.642054575,9.63081862,4.494382022,0,0,0.963081862,6.420545746,0.321027287,0,0,0.642054575,3.531300161,0,15.40930979,0.321027287,0.321027287,0,4.173354735,0
17031190300,0,5.695547118,13.1170176,0.172592337,0,8.111839834,0.690369348,0,0,0,17.43182603,0,0,0.172592337,3.451846738,0,0.172592337,4.487400759,6.903693476,0,0,0,3.279254401,0,0.172592337,0,0.172592337,1.035554021,0,12.59924059,0.172592337,0.172592337,0,3.797031412,0
17031330200,0.262743037,3.94114556,27.85076195,0,0,2.89017341,0.262743037,0,0,0.262743037,11.03520757,0,0,0,4.466631634,0,0.262743037,4.203888597,3.152916448,0,0,0,3.152916448,0,0.262743037,0,0.262743037,2.627430373,0,6.83131897,0.262743037,0.262743037,0,3.152916448,0
17031841600,0,18.0102916,30.01715266,0,0,12.00686106,4.288164666,0,0,0.857632933,54.03087479,0,0,0.857632933,29.15951973,0,1.715265866,12.00686106,7.718696398,1.715265866,0,0,12.00686106,0,3.430531732,0,0.857632933,5.145797599,0,24.87135506,0.857632933,0.857632933,0,1.715265866,0
17031030102,0,3.745318352,11.86017478,0,0,2.184769039,0.312109863,0,0,0.312109863,11.54806492,0,0,0,1.560549313,0,0.312109863,4.369538077,2.496878901,0,0,0.312109863,1.872659176,0,0.312109863,0,0.312109863,0.624219725,0,5.930087391,0.624219725,0.312109863,0,2.184769039,0
17031063000,0.336360579,3.699966364,84.09014464,0,0,9.081735621,1.681802893,0,0,0,28.2542886,0,0,0.336360579,9.081735621,0,0,6.727211571,4.372687521,0,0,0.672721157,7.736293306,0,0.336360579,0,1.345442314,7.399932728,0,16.81802893,0.672721157,0.336360579,0,11.77262025,0
17031081800,0.291290417,3.786775415,77.92018643,0.582580833,0,2.912904165,0.582580833,0,0,0.145645208,21.55549082,0,0,0,3.058549374,0,0.145645208,3.204194582,3.932420623,0,0,0.436935625,5.243227498,0,0.145645208,0,0.291290417,3.204194582,0,15.8753277,0.145645208,0.291290417,0,9.758228954,0
17031140602,0,5.743931814,8.337965536,0,0,4.817491199,0.741152492,0,0,0,11.67315175,0,0,0.185288123,6.299796183,0,0.185288123,2.964609969,5.188067445,0,0,1.297016861,2.779321845,0,0.370576246,0,0.185288123,0.555864369,0,8.337965536,0.370576246,0.370576246,0,0.926440615,0
